Name;Since;Length_km;Changes
Circuit de la Sarthe;1923-01-01;17.262;Unpaved
Circuit de la Sarthe;1929-01-01;16.340;Bypass "Rue du Circuit" within the city (to avoid suburbs)
Circuit de la Sarthe;1932-01-01;13.492;Section from the pits via the Dunlop Bridges and the Esses to Tertre Rouge added
Circuit de la Sarthe;1956-01-01;13.461;Pit straight widened
Circuit de la Sarthe;1968-01-01;13.469;Ford chicane added before the pits
Circuit de la Sarthe;1972-01-01;13.640;Armco added to the pit straight, Porsche curves bypassing Maison Blanche added
Circuit de la Sarthe;1979-01-01;13.626;Profile of Tertre Rouge changed, second Dunlop bridge removed
Circuit de la Sarthe;1986-01-01;13.528;Mulsanne corner modified in order to avoid a new roundabout
Circuit de la Sarthe;1987-01-01;13.535;Chicane to the very fast Dunlop curve added
Circuit de la Sarthe;1990-01-01;13.600;Two chicanes added onto the Mulsanne Straight to comply with FIA directive on maximum length of straights
Circuit de la Sarthe;1997-01-01;13.605;Slight reprofiling of the Dunlop chicane to move it further away of the bridge
Circuit de la Sarthe;2002-01-01;13.650;The stright run down the hill replaced by a series of sweeps
Circuit de la Sarthe;2006-01-01;13.650;Dunlop Curve tightened, Dunlop Chicane transformed into a larger set of turns
Circuit de la Sarthe;2007-01-01;13.629;Reprofiling of Tertre Rouge corner (moved inward)
Circuit de la Sarthe;2018-01-01;13.626;Porsche Curves reconstruction (paved run-off area and escape roads added)
